"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"487","PDE1C",552.798255099147,-0.815125151933756,0.138940419964932,1.52575118562553e-10,6.30168076820877e-09
"488","JAM2",956.90531841833,1.16202090943876,0.170246395093899,2.70493684176454e-13,2.34269047039869e-11
"489","EPHB1",76.7851628864142,-1.50679847356888,0.220039050682256,5.3712027324432e-14,5.53197589531296e-12
"490","DKK2",70.9529870188263,-0.754929957452573,0.440144071218577,0.000568274174738303,0.00287303590233365
"491","DEPTOR",85.6488028701614,1.08031786542958,0.407309594489311,3.56164965750665e-05,0.000278268712093152
"492","ADCY8",61.3251222385849,1.88563037491771,0.299672133318263,2.60706156894825e-12,1.72032205608131e-10
"493","GRIP1",172.861161048819,0.935264035516213,0.18405931950477,1.23575983686637e-08,2.92495142753944e-07
"494","MIDEAS",1562.21419413017,0.540162050822983,0.202077305286437,6.09210658052629e-05,0.000438856241053697
"495","WIF1",8.00057766107441,2.06670602548945,0.546961995740103,4.30912220550016e-07,6.53571639586457e-06
"496","MAP3K7CL",256.549058621135,-1.03796748822708,0.170912657701681,6.08289673242733e-11,2.80125664327461e-09
"497","TSC22D3",498.417756447566,0.767533912153881,0.142521894359122,1.36304086832006e-09,4.16108267481985e-08
"498","ETS2",734.412686487398,-0.623550469679175,0.118861460733805,7.05517945539638e-10,2.34296515116791e-08
"499","PALM2AKAP2",5064.0536826342,-0.502161449933314,0.113301489576343,4.2147113863465e-08,8.61190960617691e-07
"500","TNFRSF14",240.650215831534,0.552580513601921,0.126498158977899,4.90286868832199e-08,9.83347729159106e-07
"501","GRHL3",19.0359479573867,1.53957663248694,0.495208977568288,5.35729078130364e-06,5.64738474269788e-05
"502","RHPN1",124.410339912283,0.752578559225017,0.249434661110743,1.84168912548168e-05,0.000159504928066576
"503","XDH",51.5695447946632,-0.89708657524402,0.247739479360616,3.16114076006392e-06,3.60398418890459e-05
"504","ESYT3",43.5841175629284,0.551766844345009,0.271218861062993,0.000457040652074077,0.00238899893952445
"505","GPR153",489.772042282377,0.546406315992141,0.126121028395143,5.85898274030697e-08,1.15088239575385e-06
"506","HK2",1421.83717788483,0.727826644410662,0.487267726098625,0.000938513091187724,0.00437886594703841
"507","C1R",3049.65133026095,0.959655063064212,0.130495768154881,1.58863922562424e-14,1.82072388843536e-12
"508","ABCG1",157.401732488579,1.88019088826051,0.225892009568299,8.87962640158482e-19,2.76228867835423e-16
"509","PDE9A",328.203365937803,0.813097610741833,0.20479152995663,8.33224143580763e-07,1.1421614766728e-05
"510","ADAMTS13",28.4238831711891,0.680069900129915,0.272101629185238,8.99010455887565e-05,0.000611768588352417
"511","PAQR6",89.8220926330427,0.710050994371537,0.217077114599371,7.49579915978837e-06,7.49235846509207e-05
"512","GPATCH4",1279.34769197509,-0.586788498371444,0.129288910572014,2.25225596031179e-08,4.9755271888453e-07
"513","MRNIP",328.07206407567,0.500625050248854,0.164898379108462,1.89548180333304e-05,0.000163420979231932
"514","LRRC56",13.4020774640264,0.647636774394061,0.37061283608119,0.000731189433134244,0.00354726942369996
"515","PLXDC1",176.570501186657,0.579275497416487,0.518809239190716,0.00290999633047499,0.0111786981011669
"516","CYGB",230.169559697696,1.39291258620565,0.0909467331251888,4.60320040182004e-55,3.50832918624715e-51
"517","CXCL16",305.068901752682,0.600542710574864,0.15637903206673,6.02891998780507e-07,8.65337357571682e-06
"518","FGF11",52.5069580450262,0.936092907578691,0.755385797288561,0.000598174826360661,0.00300689277496109
"519","SPSB3",127.640616175528,0.608326982456867,0.151211397495748,2.76142327550385e-07,4.40757853282777e-06
"520","BEND5",45.0019844007507,0.676131182642972,0.318821059930659,0.000265884543276,0.00152996530507968
